date_time,search_keyword,search_count,job_id,job_title,company,location,remote,update_time,applicants,job_pay,job_time,job_position,company_size,company_industry,job_details,job_url
23Jun2025-17:06:28,Data Scientist,0,4253310620,Senior Data Scientist,SoTalent,Estados Unidos,false,hace 4 horas,100,,,,,,"Acerca del empleo Job Title: Senior Data Scientist Location: Remote Type: Full time  We’re looking for a Senior Data Scientist with a strong background in AI, machine learning, and advanced analytics to join a forward-thinking, collaborative team. In this role, you’ll lead high-impact data initiatives, design intelligent solutions, and work cross-functionally to solve real-world business problems with data.  What You’ll Do: Build and deploy machine learning models and data pipelines Apply advanced analytical techniques to drive business decisions Collaborate with engineering, product, and analytics teams Evaluate new technologies and tools in AI/ML Turn complex data into clear, actionable insights  What We’re Looking For: 6+ years of hands-on data science experience Proficient in Python, R, SQL, and modern visualization tools (e.g., Power BI, Tableau) Strong understanding of cloud-based platforms and data systems Experience delivering end-to-end ML solutions in production Excellent communication and collaboration skills  Nice to Have: Experience with GenAI or emerging AI technologies Familiarity with agile methodologies and experimentation frameworks  What You’ll Get: Competitive benefits including healthcare, retirement plans, and generous PTO Tuition reimbursement and professional development support Paid volunteer time and inclusive employee resource groups A supportive, flexible work culture focused on growth",https://www.linkedin.com/jobs/view/4253310620/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=4V11uLfNv5ej6ik8a3vh%2BA%3D%3D&trackingId=v%2FDRe%2FOUa1Tq2yjXUWAo%2Fw%3D%3D&trk=flagship3_search_srp_jobs
23Jun2025-17:06:44,Data Scientist,0,4255315046,Sr. Data Analyst,Gravity IT Resources,Estados Unidos,false,hace 3 horas,100,,,,,,"Acerca del empleo Job Title:  Sr Data Analyst  Location: Remote Job-Type: 12-month contract  Our client is a $20B, Fortune 200 company in the automotive retailing, distribution and services industry. They are currently ranked in the Top 20 companies to work for in the US by Fortune Magazine, Top 20 best companies for diversity and have an amazing work culture and impressive long-term growth prospects.  Job Summary:  The Sr. Data Analyst will be responsible developing an understanding of the relationship of the data that supports business processes and applications. The analyst will gain insights into the data and the movement of the data from data entry to final data destinations in the back-end files and reporting systems. Candidates must possess the technical capabilities to extract, retrieve and analyze data on their own. Be able to dive in and research new and complex data sources to understand how the data is moving in the system and how the data is stored to identify any anomalies that may exist. The analyst should possess strong interpersonal communication skills to be able to bridge the gap between business and technical users to relay both business and technical concepts as it relates to data. The analyst will be required to document findings and ensure that mappings and lineage are well documented and stored into knowledge storage repositories. This assignment is for a project that will interact with business and IT to understand business processes and the related data. Must be able to be on a hybrid schedule (Deerfield Beach office) with flexibility to be in the office more, as required.   Job Requirements:   o 5+ years of experience as a Data Analyst   o Senior level proficiency with SQL o Ability to independently complete data lineage projects and source to target mapping   o BA or BS Degree in Data Analytics, Computer Science or a related field   o Excellent communication skills and ability to effectively communicate with technical and business teams   o Executive / business presence  o Ability to develop trusted partnerships with stakeholders and other employees.",https://www.linkedin.com/jobs/view/4255315046/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=4V11uLfNv5ej6ik8a3vh%2BA%3D%3D&trackingId=GVJ%2FY2DP2%2BQxkf6B7D8rYw%3D%3D&trk=flagship3_search_srp_jobs
23Jun2025-17:07:00,Data Scientist,0,4255195040,Senior Data Scientist,Empiric,Estados Unidos,false,hace 6 horas,100,,,,,,"Acerca del empleo Senior Data Scientist / Machine Learning Engineer  Location: Remote  Contract: 6 months initial  Rate: $75-$90 per hour   Impact of Your Role As a Senior Data Scientist / Machine Learning Engineer, you will: Develop innovative solutions utilizing Large Language Models (LLMs) on customer data, including Retrieval-Augmented Generation (RAG) and agentic architectures, to enhance enterprise knowledge repositories. Implement natural language querying for structured data and facilitate content generation. Expand customer data science capabilities by applying best practices in MLOps to ensure successful deployment across diverse domains. Provide strategic guidance to data teams on architecture, tools, and best practices in data science. Offer technical mentorship to the broader Machine Learning Subject Matter Expert community. Required Experience: Proficiency in advanced natural language processing techniques, including vector databases, LLM fine-tuning, and deployment using tools such as HuggingFace, Langchain, and OpenAI. 5 to 6+ years of hands-on experience in production data science, utilizing tools such as pandas, scikit-learn, gensim, nltk, and TensorFlow/PyTorch. Proven track record of building production-grade machine learning solutions on cloud platforms like AWS, Azure, or GCP. Strong ability to communicate complex technical concepts effectively to both technical and non-technical audiences. Experience with Apache Spark™ for processing large-scale distributed datasets. Familiarity with the Databricks platform. At least 2 years of customer-facing experience in a pre-sales or similarly technical role.",https://www.linkedin.com/jobs/view/4255195040/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=4V11uLfNv5ej6ik8a3vh%2BA%3D%3D&trackingId=dCkXglLihyW8DZNM5EhGuA%3D%3D&trk=flagship3_search_srp_jobs
23Jun2025-17:07:18,Data Scientist,0,4255302863,Senior Data Scientist,Acumatica,"Seattle, WA",false,hace 4 horas,100,,,,,,"Acerca del empleo Company Description  Acumatica is a company on a mission. We are a leading innovator in cloud ERP with customers located around the world. But don’t take our word for it—read what analysts like G2 and Info-Tech have to say about us.  Acumatica is a leading provider of cloud business management software that empowers small and mid-size businesses to unlock their potential and drive growth. Built on the world’s best cloud and mobile technology and a unique customer-centric licensing model, Acumatica delivers a suite of fully integrated business management applications, such as Financials, Distribution, CRM, and Project Accounting, on a robust and flexible platform. In an interconnected world, Acumatica enables customers to take full control of their businesses, play to their organizations’ unique strengths, and support their clients by following them anywhere on any device.  Acumatica’s culture is casual and high-energy. We are passionate about our product and our mission, and we are loyal to each other and our company. We value work/life balance, efficiency, simplicity, freakishly friendly customer service, and making a difference in the world. Acumatica offers exceptional professional and financial growth potential.  To learn more about Acumatica’s mission, please visit: http://www.acumatica.com.  Job Description  This is an exciting opportunity for a senior data scientist to play a strategic role in shaping how data is used to drive decisions, insights, and innovation across our business, partners and customers ecosystem. In this role you will work closely with our business teams to understand their goals, challenges, and use cases – translating them into actionable data and analytics requirements.  You will help define both the analytics and data engineering dimensions of our data platform strategy. On the analytics side, you will define key business metrics, design data models, and develop insights and dashboards that inform critical tactical & strategic decisions. You will collaborate with data engineering to ensure the underlying data architecture, pipelines, and structures are aligned with analytical needs.  You will also help uncover and shape opportunities for advanced analytics and machine learning, including use case discovery, prototyping, and advising on practical deployment for our business teams. You will have the opportunity to help our business stakeholders move beyond reactive reporting to forward-looking, data-driven decision-making with scalable, value-driven advanced analytics.  Key Responsibilities  Business Partnership & Requirements Gathering Work with cross-functional business team to understand key objectives and challenges of each business function Translate business goals into data and analytical requirements for data engineering and data analytics teams Proactively identify areas where analytics and machine learning can provide enhanced value and insights beyond current scope Communicate complex findings in a clear, actionable manner to both technical & non-technical stakeholders Analytical Leadership Design, build, and implement advanced analytics models (e.g. forecasting, classification, segmentation) to support internal and customer facing use cases Serve as a thought leader on data science best practices, emerging trends, and innovation opportunities Collaboration & Enablement Work closely with data engineers to ensure data pipelines and structures align with analytical needs Help define and maintain a roadmap for analytics and ML capabilities aligned with business and product goals Mentor rising data scientists and analysts Qualifications  Education  Bachelor’s or Master’s degree in Computer Science, Data Science, or a related field  Experience  7+ years of experience in data science or advanced analytics, preferably within SaaS ERP or enterprise software Strong experience working with business and technical teams Proven ability to translate business analytics needs into well-defined & structured analytics deliverables Strong communication skills with ability to influence and educate stakeholders at all levels Experience working with large, complex datasets and modern cloud data platforms (e.g. Snowflake, Data Bricks, Big Query, AWS Spark, Dremio, Apache Iceberg) Ability to be a lead for a team of 3-5 data analysts  Technical Skills  Hands-on experience with Python or R, Advanced SQL, and machine learning libraries Strong data modeling experience Strong knowledge of ETL/ELT pipelines, streaming data, and orchestration frameworks Understanding of data governance frameworks & compliance standards Experience integrating machine learning workflows into lakehouse environments  Additional Information  Acumatica is an Affirmative Action and Equal Opportunity Employer/Veterans/Disabled. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability.  If you have a disability and you believe you need a reasonable accommodation in order to search for a job opening or to submit an online application, please e-mail HR@acumatica.com. This email is created exclusively to assist disabled job seekers whose disability prevents them from being able to apply online. Only emails sent for this purpose will be returned. Emails sent for other purposes, such as following up on an application or technical issues not related to a disability, will not receive a response.  For this role, the salary range is $140,000-160,000 annually. This range represents the low and high end of the salary range for this job and may vary based on location. The actual salary offer will carefully consider a wide range of factors, including skills, qualifications, experience and other relevant elements.  At Acumatica, certain roles are eligible for additional rewards, including annual bonus and stock. These awards are allocated based on individual performance. In addition, certain roles also have the opportunity to earn sales incentives based on revenue or utilization, depending on the terms of the plan and the employee’s role.",https://www.linkedin.com/jobs/view/4255302863/?eBP=BUDGET_EXHAUSTED_JOB&refId=4V11uLfNv5ej6ik8a3vh%2BA%3D%3D&trackingId=kQbT224EQml%2BMbwdwHZu0A%3D%3D&trk=flagship3_search_srp_jobs
23Jun2025-17:07:35,Data Scientist,0,4255131804,Data Science & ML Engineer,TrueNorth®,Reino Unido,false,hace 11 horas,100,,,,,,"Acerca del empleo One of our clients are a leading E-commerce company are looking for an DS/ML engineer to join them for an initial 6 months contract.  Details of this contract as follows:  Location: Remote Duration: 6 months, high likelihood of extension Rate: £400 - £450 per day Status: Outside IR35 Start date: Ideally immediate (they may be able to wait up to 4 weeks for someone to start) Skills required: NLP, Modelling, Python, SQL, Databricks, Anomaly Detection Desirable: Image Classification, Airflow, Pyspark   You will be joining their customer security team, which uses machine learning to detect anomalies and erroneous activity on customer accounts. You will be building models to help detect any unwanted account takeovers by cyber criminals and build customer trust.  If this is of interest, then please apply today or send through an updated CV to:  david@truenorthgroup.io",https://www.linkedin.com/jobs/view/4255131804/?eBP=BUDGET_EXHAUSTED_JOB&refId=4V11uLfNv5ej6ik8a3vh%2BA%3D%3D&trackingId=gHm5RS2lGWkn4UfS%2BGAFgw%3D%3D&trk=flagship3_search_srp_jobs
23Jun2025-17:07:54,Data Scientist,0,4252676518,Senior Data Analyst: 100% remote [32334],,Estados Unidos,false,hace 9 horas,100,,,,,,"Acerca del empleo The company is a fast-growing, independently-owned real estate software firm that serves as a trusted technology partner to over 500,000 top brokerages, agents, and teams. Their branded portfolio, BoldTrail, includes BoldTrail (Front Office), BoldTrail BackOffice and BoldTrail Recruit, solutions that create a complete tech ecosystem for clients, and deliver seamless end-to-end operations to scale success at any level. With an accomplished leadership team and its talented staff, the company brings the resources, scale, and vision to deliver ongoing innovation and success to their growing customer base. We are seeking a Senior Data Analyst with expertise in product analytics, behavioral analysis, and predictive analytics to join our team. The ideal candidate will combine strong statistical knowledge with business acumen to drive product and business decisions through data-driven insights. This role is crucial in empowering teams with the data they need to make informed decisions.  Responsibilities Lead the analysis of user behavior and trends by leveraging advanced statistical methods and predictive models to generate insights into engagement and retention. Develop and standardize product metrics, aligned with company OKRs; utilizing cohort analysis to better understand user lifecycles and influence on customer lifetime value. Design and execute experimental strategies, including A/B tests to measure the impact of product changes, directly influencing product roadmap decisions. Create and maintain scalable reporting solutions that democratize access to key metrics, while ensuring data accuracy and integrity. Collaborate with cross-functional teams to define, measure, and capture data, transforming business questions into critical insights. Deliver clear, concise reports and visualizations that effectively communicate insights to both technical and non-technical audiences. Lead the analysis for customer success stories and sales enablement by creating data-backed proof points for case studies and sales narratives Mentor junior analysts while documenting and standardizing best practices for data analysis and reporting across the organization. Qualifications: Bachelor’s degree in Data Science, Statistics, Mathematics, Computer Science, or a related field (Master's degree preferred). 3-5+ years of hands-on experience with product and customer analytics with a specialty in B2B/SaaS (i.e., product usage and engagement analysis, customer lifecycle metrics)  Strong proficiency in data analysis tools such as SQL and programming languages such as Python or R, with demonstrated ability to write efficient queries and build reproducible data pipelines to support statistical and analytical models. Experience with data visualization and BI tools for creating intuitive dashboards (Tableau strongly preferred) Experience with modern data stacks including cloud-based databases (Redshift), ETL/Pipeline orchestration tools (Airflow), product analytics platforms (Segment, Amplitude) and version control/database tools (Github). Experience with experimental design and A/B testing methodologies Proven ability to lead and manage multiple initiatives from problem definition, defining success metrics, designing the experiment and communicating actionable results.  Strong understanding of data governance and data quality principles. Excellent problem-solving skills and attention to detail. Possesses strong written and verbal communication skills in order to collaborate effectively across various teams and organizational levels. Experience in the Real Estate industry is a plus.  We offer a competitive total rewards package including: Competitive salary 3 Medical plans to choose from - 1 PPO and 2 HDHPs 2 Dental plans to choose from Vision HSA - company-funded FSAs - healthcare, limited purpose, dependent care Short-Term Disability - company-paid Long-Term Disability - company-paid Basic Employee Life Insurance - company-paid Voluntary Dependent Life Insurance Voluntary Accident Insurance Voluntary Critical Illness Voluntary Hospital Indemnity Legal Plan ID Protection Pet Insurance 401(k) Retirement Savings with company match Paid PTO/Vacation/Sick Time 11 company-recognized holidays Company-paid Parental/Disability Leave   In addition, we focus on driving top results providing: Opportunities to grow within our company; Potential to work in a remote setting; Exciting/energetic work environment and fun, creative culture.",https://www.linkedin.com/jobs/view/4252676518/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=4V11uLfNv5ej6ik8a3vh%2BA%3D%3D&trackingId=d8W5OJdjuBKpeBqEa3BuaQ%3D%3D&trk=flagship3_search_srp_jobs
23Jun2025-17:08:10,Data Scientist,0,4255195169,AI/ ML Engineer,Acetech Group Corporation,Estados Unidos,false,hace 6 horas,100,,,,,,"Acerca del empleo Position: AI/ ML Engineer Location:100% Remote Duration: 12+ contract   Job Description We are seeking a talented Java Full Stack Developer with expertise in AI/ML to join our dynamic team.  Responsibilities: Design, develop, and maintain scalable web applications using Java and related technologies. Implement and integrate AI/ML models and algorithms into applications, focusing on technologies such as RAG (Retrieval-Augmented Generation), MCP (Model Compression and Pruning), LlamaIndex, and LangChain. Work with vector databases to manage and query large datasets efficiently. Collaborate with cross-functional teams to define, design, and ship new features. Ensure the performance, quality, and responsiveness of applications. Identify and correct bottlenecks and fix bugs. Stay up-to-date with emerging trends and technologies in fullstack development and AI/ML.   Required Skills & Experience Bachelor's degree in Computer Science, Engineering, or a related field. Proven experience as a Fullstack Developer with a strong proficiency in Java. Hands-on experience with AI/ML technologies, including GenAI, RAG, MCP, LlamaIndex, and LangChain. Experience with vector databases and their applications. Strong understanding of front-end technologies, such as HTML, CSS, and JavaScript. Familiarity with frameworks such as Spring Boot and Hibernate.  Nice to Have Skills & Experience Master's degree in Computer Science or a related field. Experience with cloud platforms such as AWS, Azure, or Google Cloud. Knowledge of DevOps practices and tools. Contributions to open-source projects.",https://www.linkedin.com/jobs/view/4255195169/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=4V11uLfNv5ej6ik8a3vh%2BA%3D%3D&trackingId=h9kFkWjyl7tQSg58R1GVEg%3D%3D&trk=flagship3_search_srp_jobs
23Jun2025-17:08:28,Data Scientist,0,4255203695,"Data Scientist, Entry Level",Jobright.ai,"Oregón, Estados Unidos",false,hace 7 horas,,,,,,,"Acerca del empleo At Jobright, we help high-growth startups hire top talent for their key roles.  The Voleon Group is a technology company focused on applying advanced AI and machine learning techniques to investment management. As a Data Scientist, you will be responsible for deriving insights from complex datasets, ensuring data integrity, and communicating findings to both research staff and executive leadership.  Responsibilities: Design and implement systems to ensure data correctness and monitor data health in data stores and live feeds Proactively identify abnormal production behavior and communicate them clearly to relevant stakeholders Perform extemporaneous analyses on research and production trading systems with leadership Harness financial expertise and statistical analysis to gain actionable insights into our production trading and research systems Design and implement analysis pipelines that automate those analyses found to be valuable for ongoing monitoring  Qualification:  Required: 1+ years of applied end-to-end industry experience, including internships working with complex datasets, including curation, querying, aggregation, exploratory data analysis, and visualization Experience using statistical methods to analyze data, identify patterns, conduct root cause analysis, discover insights, and recommend solutions Ability to frame and answer questions mathematically Ability to infer useful forward-looking directions from results of retrospective analysis Fluency in managing, processing, and visualizing tabular data using a combination of SQL, Pandas, and R Basic software development skills and experience with bash, linux/unix, and git Ability to refine requirements from ambiguous requests to produce reports demonstrating excellence in communication Bachelor’s degree in a quantitative discipline (statistics, biostatistics, data science, computer science, or a related field)  Preferred: Master’s degree in a quantitative discipline Prior industry experience or displayed interest in finance, such as related academic projects, coursework in financial engineering, or industry internships Experience developing in a production-facing environment and familiarity with standard concepts and tooling, e.g., CI/CD, git, Airflow",https://www.linkedin.com/jobs/view/4255203695/?eBP=BUDGET_EXHAUSTED_JOB&refId=4V11uLfNv5ej6ik8a3vh%2BA%3D%3D&trackingId=FFrEr4Lg8dd5FtDt%2BErrWQ%3D%3D&trk=flagship3_search_srp_jobs
23Jun2025-17:08:45,Data Scientist,0,4255098146,Data Scientist,People Prime Worldwide,India,false,hace 8 horas,100,,,,,,"Acerca del empleo About Company: Client is a US-based AI infrastructure company focused on accelerating the development and deployment of AI systems. It connects companies with AI experts and provides end-to-end AI solutions, initially known for its Intelligent Talent Cloud and now offering services for designing, training, and deploying advanced AI systems. Client also focuses on advancing frontier AI model capabilities and building real-world AI applications.   Job Title: Data Scientist with Julia Experience Location: Remote Client: Turing Experience: 3+ yrs Job Type : Contract to hire. Notice Period:- Immediate joiners Only.   Note: Candidate should be comfortable to work for US Shifts/Night Shifts. Interview Mode: Virtual (Two rounds of interviews (60 min technical + 30 min technical & cultural discussion).  Roles and Responsibilities: Strong experience with Julia programming language concepts.  Industry experience and knowledge of code quality, formatting, and best practices of software development. Experience with Julia's testing ecosystem, including unit, integration, and property-based testing.  Familiarity with Julia frameworks and libraries. Knowledge of multi-threading and asynchronous programming in Julia.  Ability to work with architectural patterns and refactor code without introducing regressions. Strong debugging skills, including fixing memory and concurrency issues.  3+ years of overall work experience with 2+ years of relevant experience with Julia. Fluent in conversational and written English communication skills.",https://www.linkedin.com/jobs/view/4255098146/?eBP=BUDGET_EXHAUSTED_JOB&refId=4V11uLfNv5ej6ik8a3vh%2BA%3D%3D&trackingId=y2YVBvzHka4pnNUtCm6Bsg%3D%3D&trk=flagship3_search_srp_jobs
23Jun2025-17:09:00,Data Scientist,0,4255251146,Machine Learning Engineer,Creospan Inc.,Estados Unidos,false,hace 1 hora,100,,,,,,"Acerca del empleo Job Title: ML Engineer Location: Remote Job Duration: 6 months Contract  Job Description: We are seeking skilled engineers to provide daily support for our in-house Gen AI platforms, which serve legal stakeholders. The successful candidates will be responsible for: Building and maintaining the platforms, including refactoring software as needed Troubleshooting and resolving bugs and issues that arise Collaborating with FTEs to share workload and support ongoing projects Ensuring seamless operation of the platforms to meet the needs of our legal stakeholders  Qualifications: 1) Master's/Bachelor's in Computer Science, Math, Physics, Engineering, Statistics or a related quantitative field. 2) 3+ years of experience in the design, deployment and maintenance of Machine learning pipelines and systems. 3) Demonstrable experience in applying Machine Learning algorithms to solve real-world problems 4) 3+ years of experience in design, deployment and maintenance of large data pipelines.",https://www.linkedin.com/jobs/view/4255251146/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=4V11uLfNv5ej6ik8a3vh%2BA%3D%3D&trackingId=uGKiBIBYOwI8x5OWeMzgDg%3D%3D&trk=flagship3_search_srp_jobs
